Species,Crop common name,Number of accessions with information,meanPD,SE,min,max,Number of entries,obs
Abelmoschus esculentus,Okra,2,0.14,0.08,0.00,0.36,4,
Acca sellowiana,Feijoa,7,0.95,0.03,0.79,1.00,7,
Actinidia chinensis,Golden kiwifruit,3,0.74,0.12,0.47,1.00,4,
Actinidia chinensis var. deliciosa,Kiwifruit,7,0.59,0.09,0.10,1.00,14,
Anacardium occidentale,Cashew,2,1.00,0.00,1.00,1.00,4,
Annona cherimola,Cherimoya,1,1.00,NA,1.00,1.00,1,
Annona crassiflora,Marolo,NA,1.00,0.00,1.00,1.00,2,
Annona squamosa,Sugar apple,NA,1.00,NA,1.00,1.00,1,
Annona spp.*,Custard apple,1,1.00,0.00,1.00,1.00,5,
Arachis hypogea,Peanut,2,0.22,0.05,0.09,0.36,2,
Artocarpus heterophyllus,Jackfruit,2,0.84,0.05,0.79,0.88,2,
Asimina parviflora,Pawpaw,NA,0.86,0.14,0.57,1.00,3,
Averrhoa carambola,Carambola,1,0.93,NA,0.93,0.93,1,
Bertholletia excelsa,Brazil nut,NA,1.00,NA,1.00,1.00,1,
Bixa orellana,Annatto,NA,0.98,NA,0.98,0.98,1,
Brassica juncea,Mustard seed,NA,0.40,0.03,0.34,0.48,4,
Brassica napus,Oilseed rape,8,0.27,0.03,0.00,0.69,35,
Brassica rapa,Canola,1,0.39,0.09,0.30,0.51,3,
Cajanus cajan,Pigeon pea,NA,0.17,0.01,0.15,0.19,6,
Camellia oleifera,Camellia,NA,0.87,0.04,0.81,0.94,3,
Capparis spinosa,Caper,NA,0.83,NA,0.83,0.83,1,
Capsicum annuum,Chilli,2,0.48,0.07,0.10,0.93,14,
Capsicum chinense,Habanero pepper,1,0.85,NA,0.85,0.85,1,
Carica papaya,Papaya,1,0.91,NA,0.91,0.91,1,
Carthamus tinctorius,Safflower,NA,0.58,NA,0.58,0.58,1,
Carum carvi,Caraway seed,NA,0.20,NA,0.20,0.20,1,
Castanea crenata,Japanese chestnut,2,0.77,0.09,0.59,0.86,3,
Castanea mollissima,Chinese chestnut,1,0.06,0.03,0.02,0.12,3,
Castanea sativa,European chestnut,6,0.35,0.07,0.04,0.63,8,
Castanea sativa × C. crenata,Chestnut,7,0.76,0.05,0.55,0.94,10,
Cicer arietinum,Chickpea,1,0.27,NA,0.27,0.27,1,
Citrullus lanatus,Watermelon,2,0.87,0.05,0.77,1.00,4,
Citrus clementina,Clementine,3,0.82,0.07,0.67,1.00,5,
Citrus limon,Lemon,NA,0.80,NA,0.80,0.80,1,
Citrus paradisi,Grapefruit,5,0.63,0.05,0.16,1.00,15,
C. paradisi × C. reticulata,Tangelo,2,1.00,0.00,1.00,1.00,2,
Citrus reticulata,Mandarin tangerine,2,0.67,0.34,0.33,1.00,2,
Citrus sinensis,Orange,4,0.19,0.04,0.06,0.31,7,
Cocos nucifera,Coconut,1,0.36,NA,0.36,0.36,1,
Coffea arabica,Arabic coffee,2,0.31,0.05,0.21,0.37,3,
Coffea canephora,Coffee,NA,0.63,0.32,0.00,1.00,3,
Coriandrum sativum,Coriander,1,0.47,0.33,0.14,0.80,2,
Cucumis melo,Melon,2,1.00,0.00,1.00,1.00,4,
Cucumis sativus,Cucumber,2,0.56,0.10,0.26,0.81,5,
Cucurbita maxima,Pumpkin,1,1.00,NA,1.00,1.00,1,
Cucurbita moschata,Gourd,2,0.90,0.08,0.70,1.00,3,
Cucurbita pepo,Squash,4,1.00,0.00,1.00,1.00,5,
Cucurbita pepo,Courgette,NA,0.31,0.06,0.21,0.40,1,
Cuminum cyminum,Cumin,1,0.29,NA,0.29,0.29,1,
Cydonia oblonga,Quince,6,1.00,NA,1.00,1.00,11,
Dimocarpus longan,Longan,NA,0.50,NA,0.50,0.50,1,
Diospyros kaki,Persimmon,4,0.60,0.10,0.21,1.00,9,
Durio zibethinus,Durian,1,0.92,0.09,0.83,1.00,2,
Elaeis guineensis,Oil palm,NA,0.81,NA,0.81,0.81,1,
Elettaria cardamomum,Cardamom,2,0.99,0.02,0.97,1.00,2,
Eriobotrya japonica,Loquat,1,0.75,0.02,0.73,0.76,2,
Euterpe oleracea,Açaí,NA,0.84,NA,0.84,0.84,1,
Fagopyrum esculentum,Buckwheat,1,0.49,NA,0.49,0.49,1,
Ficus carica,Fig,1,0.32,NA,0.32,0.32,1,
Foeniculum vulgare,Fennel,1,0.87,NA,0.87,0.87,1,
Fragaria × ananassa,Strawberry,2,0.54,0.09,0.42,0.74,3,
Glycine max,Soybean,4,0.19,0.06,0.00,0.37,5,
Gossypium hirsutum,Cottonseed,2,0.20,0.05,0.07,0.37,6,
Helianthus annuus,Sunflower,7,0.54,0.09,0.08,0.93,8,
Jatropha curcas,Jatrofa,NA,0.58,0.07,0.19,0.87,8,
Linum usitatissimum,Linseed,1,0.03,0.03,0.00,0.04,2,
Litchi chinensis,Lychee,9,0.80,0.08,0.14,1.00,15,
Lonicera caerulea,Honeysuckle,2,0.64,0.02,0.62,0.65,2,
Luffa acutangula,Chinese okra,2,1.00,0.00,1.00,1.00,2,
Luffa aegyptiaca,Smooth gourd,4,1.00,0.00,1.00,1.00,4,
Macadamia spp.***,Macadamia,2,0.66,0.23,0.07,1.00,8,
Macadamia integrifolia,Macadamia,2,0.76,0.11,0.37,1.00,6,
Malpighia emarginata,Acerola cherry,3,0.86,0.07,0.66,1.00,5,
Malus domestica,Apple,25,0.73,0.02,0.02,1.00,188,
Mangifera indica,Mango,2,0.71,0.18,0.53,0.88,2,
Manilkara zapota,Sapodilla,1,0.90,NA,0.90,0.90,1,
Momordica charantia,Bitter melon,2,0.96,0.04,0.68,1.00,7,
Myristica fragrans,Nutmeg,NA,1.00,NA,1.00,1.00,1,
Nephelium lappaceum,Rambutan,1,0.54,0.02,0.52,0.56,2,
Nigella sativa,Black cumin,NA,0.47,0.01,0.46,0.47,2,
Opuntia ficus-indica,Cactus pear,1,0.41,0.07,0.17,0.57,5,
Paeonia ostii,Peony,1,0.52,NA,0.52,0.52,1,
Papaver somniferum,Poppy seed,NA,0.41,NA,0.41,0.41,1,
Passiflora edulis,Passion fruit,NA,1.00,0.00,0.97,1.00,8,
Passiflora ligularis,Granadilla,NA,0.99,NA,0.99,0.99,1,
Persea americana,Avocado,1,0.86,NA,0.86,0.86,1,
Phaseolus coccineus,Runner bean,4,0.78,0.08,0.44,1.00,8,
Phaseolus vulgaris,Bean,3,0.19,0.11,0.00,0.37,3,
Physalis angulata,Camapu,NA,1.00,NA,1.00,1.00,1,
Physalis peruviana,Goldenberry,NA,0.34,0.02,0.32,0.35,2,
Pimpinella anisum,Anise,NA,0.45,0.02,0.43,0.47,2,
Polaskia chichipe,Chichituna,NA,0.67,NA,0.67,0.67,1,
Prunus armeniaca,Apricot,1,0.95,0.04,0.87,1.00,3,
Prunus avium,Sweet cherry,1,0.82,0.17,0.49,1.00,3,
Prunus cerasus,Sour cherry,5,0.75,0.06,0.36,0.97,9,
Prunus domestica,Plum,2,0.60,0.03,0.52,0.66,3,
Prunus dulcis,Almond,13,0.84,0.03,0.38,1.00,26,
Prunus persica,Peach nectarine,43,0.37,0.03,0.08,0.73,43,
Psidium guajava,Guava,1,0.08,NA,0.08,0.08,1,
Psophocarpus tetragonolobus,Winged bean,NA,0.69,NA,0.69,0.69,1,
Punica granatum,Pomegranate,3,0.40,0.02,0.37,0.44,3,
Pyrus communis,Pear,6,0.74,0.10,0.15,1.00,8,
Ribes rubrum,Currant,1,0.42,NA,0.42,0.42,1,
Ribes uva-crispa,Gooseberry,5,0.45,0.06,0.27,0.65,7,
Ricinus communis,Castor bean,NA,0.81,NA,0.81,0.81,1,
Rosa multiflora,Rose hip,8,0.99,0.00,0.99,1.00,8,
Rubus fruticosus,Blackberry,2,0.45,0.06,0.39,0.51,2,
Rubus idaeus,Raspberry,5,0.55,0.07,0.07,0.70,8,
Selenicereus undatus,White-fleshed pitaya,1,0.22,NA,0.22,0.22,1,
Selenicereus spp.**,Red-peel pitaya,3,1.00,0.00,1.00,1.00,3,
Sesamum indicum,Sesame seed,2,0.25,0.24,0.01,0.49,2,
Solanum lycopersicum,Tomato,2,0.27,0.15,0.00,0.52,3,
Solanum melongena,Eggplant,3,0.83,0.04,0.74,1.00,8,
Solanum quitoense,Naranjilla,NA,1.00,NA,1.00,1.00,1,
Spondias mombin,Hog plum,1,0.78,NA,0.78,0.78,1,
Theobroma cacao,Cocoa,NA,1.00,NA,1.00,1.00,1,
Trichosanthes cucumerina,Snake gourd,3,0.91,0.06,0.73,1.00,4,
Trichosanthes dioica,Pointed gourd,1,1.00,0.00,1.00,1.00,2,
Trifolium alexandrinum,Berseem,NA,0.24,0.04,0.20,0.27,2,
Vaccinium corymbosum,Highbush blueberry,6,0.53,0.04,0.28,0.92,20,
Vaccinium macrocarpon,Cranberry,1,0.58,NA,0.58,0.58,1,
Vaccinium myrtillus,Bilberry,NA,0.93,NA,0.93,0.93,1,
Vaccinium virgatum,Rabbit-eye blueberry,NA,0.79,0.11,0.60,1.00,4,
Vaccinium vitis-idaea,Linganberry,NA,0.88,NA,0.88,0.88,1,
Vanilla planifolia?,Vanilla,NA,1.00,NA,1.00,1.00,1,
Vicia faba,Broad bean,1,0.05,0.03,0.02,0.08,2,
Vigna subterranea,Bambara bean,2,0.87,0.01,0.85,0.90,2,
Vigna unguiculata,Cowpea,2,0.22,0.11,0.04,0.42,3,
Vitellaria paradoxa,Karite nut,1,0.54,0.20,0.08,1.00,6,
Ziziphus jujuba,Jujube,NA,0.97,NA,0.97,0.97,1,
Arbutus unedo ,Tree-strawberry,NA,0.25,NA,NA,NA,NA,Mean value from Klein et al. 2007
Canavalia spp.,Jack / Horse bean,NA,0.25,NA,NA,NA,NA,Mean value from Klein et al. 2007
Chrysophyllum cainito,Star apple,NA,0.05,NA,NA,NA,NA,Mean value from Klein et al. 2007
Cola spp.,Cola nut,NA,0.65,NA,NA,NA,NA,Mean value from Klein et al. 2007
Crataegus azarolus,Azarole,NA,0.05,NA,NA,NA,NA,Mean value from Klein et al. 2007
Cyamopsis tetragonoloba,Guar bean,NA,0.05,NA,NA,NA,NA,Mean value from Klein et al. 2007
Lablab purpureus,Hyacinth bean,NA,0.25,NA,NA,NA,NA,Mean value from Klein et al. 2007
Mammea americana,Mammee,NA,0.25,NA,NA,NA,NA,Mean value from Klein et al. 2007
Pimenta dioica,Allspice,NA,0.65,NA,NA,NA,NA,Mean value from Klein et al. 2007
Sorbus domestica,Service-apple,NA,0.25,NA,NA,NA,NA,Mean value from Klein et al. 2007
Tamarindus indica,Tamarind,NA,0.05,NA,NA,NA,NA,Mean value from Klein et al. 2007
