Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Abelmoschus esculentus,Okra,var. Clemson spineless,0.10,0.02,0.07,0.12,2
Abelmoschus esculentus,Okra,var. Shakthi,0.36,NA,0.36,0.36,1
Acca sellowiana,Feijoa,clone “51”,0.79,NA,0.79,0.79,1
Acca sellowiana,Feijoa,clone “101”,1,NA,1,1,1
Acca sellowiana,Feijoa,clone “453 N.2”,1,NA,1,1,1
Acca sellowiana,Feijoa,clone “454 N.2”,1,NA,1,1,1
Acca sellowiana,Feijoa,clone “456 N.2”,1,NA,1,1,1
Acca sellowiana,Feijoa,clone “457 N.2”,1,NA,1,1,1
Acca sellowiana,Feijoa,clone “458 N.2”,0.84,NA,0.84,0.84,1
Actinidia chinensis,Golden Kiwifruit,cv. “Golden Sunshine”,0.62,NA,0.62,0.62,1
Actinidia chinensis,Golden Kiwifruit,cv. “Gulf Coast Gold”,0.87,NA,0.87,0.87,1
Actinidia chinensis,Golden Kiwifruit,cv. “Haegeum”,0.94,NA,0.94,0.94,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Allison”,1.00,NA,1.00,1.00,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “BoErica”,0.61,NA,0.61,0.61,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Bruno”,1.00,NA,1.00,1.00,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Early Green”,0.25,NA,0.25,0.25,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Hayward”,0.50,0.11,0.10,1.00,8
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Monty”,1.00,NA,1.00,1.00,1
Actinidia chinensis var. deliciosa,Kiwifruit,cv. “Tsechelidis”,0.41,NA,0.41,0.41,1
Anacardium occidentale,Cashew,cv. “CCP 1001”,1.00,0.00,1.00,1.00,2
Anacardium occidentale,Cashew,cv. “CCP76”,1.00,0.00,1.00,1.00,2
Annona spp.,Custard Apple,cv. “Hillary White”,1.00,0.00,1.00,1.00,5
Annona cherimola,Cherimoya,cv. “Big Sister”,1.00,NA,1.00,1.00,1
